NAME,MSINI,RA,DEC,A,PER,ECC,OM,T0,MSTAR,STAR,RSTAR,TEFF
GJ 676 A b,4.89701,17.50318056,-51.636525,1.81539,1056.8,0.326,85.7,2455411.9,0.71,GJ 676 A,,
Kepler-60 b,,19.26408278,42.265,0.0750769,7.1316185,,,,1.11,Kepler-60,1.5,5915
Kepler-151 b,,19.47751944,41.02323889,0.120241,15.228958,,90,2455009.56,,Kepler-151,0.83,5460
Kepler-242 c,,19.10438056,41.8084,0.116354,14.496481,,90,2454976.413,,Kepler-242,0.85,5020
Kepler-230 b,,19.0479,48.50586111,0.199823,32.625555,,90,2455027.137,,Kepler-230,0.817,5588
HD 47186 c,0.348285,6.602436111,-27.62165833,2.38704,1353.6,0.249,26,2452010,0.99,HD 47186,1.13117,5675
Kepler-351 c,,19.09685,42.65788056,0.290701,57.24809,,90,2455017.694,,Kepler-351,0.854,5643
Kepler-350 b,,19.02796944,39.70611111,0.0979073,11.189562,,90,2454973.631,,Kepler-350,1.534,6186
Kepler-382 b,,19.94241111,45.86993056,0.0592083,5.262155,,90,2454969.368,,Kepler-382,0.945,5600
HIP 14810 d,0.5806,3.187286111,21.09748889,1.88623,950.69651,0.165251,296.832,2454345.169,0.99,HIP 14810,1.31998,5485
Kepler-209 b,,19.4113,42.64081111,0.124721,16.087845,,90,2455005.813,,Kepler-209,0.935,5513
Kepler-123 c,,19.79991111,42.78196111,0.174808,26.695074,,90,2454976.998,,Kepler-123,1.264,6089
HD 142245 b,1.89038,15.88230833,15.43075833,2.77628,1299,0,234,2454760,1.69,HD 142245,4.51552,4878
Kepler-59 c,,19.13596694,46.64011111,0.136086,17.9801235,,,,1.04,Kepler-59,0.94,6074
KIC 11442793 b,,18.96223278,49.30513889,0.0761616,7.008151,,,,1.2,KIC 11442793,1.2,6080
Kepler-258 b,,19.60456944,46.57933056,0.109294,13.19722,,90,2455004.544,,Kepler-258,0.915,4942
Kepler-309 c,,19.83398889,46.96126111,0.436563,105.356383,,90,2454971.684,,Kepler-309,0.721,4713
Kepler-302 c,,19.62113056,43.62933889,0.495205,127.282184,,90,2454996.889,,Kepler-302,1.22,5740
HD 30177 b,9.68782,4.698416666,-58.02072778,3.80821,2770,0.193,34,2451437,0.951,HD 30177,1.21235,5607.39
Kepler-4 b,0.0772272,19.04102139,50.13575,0.0455763,3.21346,0,90,2454956.613,1.223,Kepler-4,1.487,5857
HD 190647 b,1.90296,20.12213611,-35.53813056,2.07238,1038.1,0.18,232.5,2453868,1.1,HD 190647,1.42287,5628
HD 97658 b,0.024749,11.24256389,25.71026667,0.0796373,9.4909,0.064,351,2596361.805,0.748,HD 97658,0.703,5119
Kepler-261 b,,19.42431944,37.60916944,0.0931334,10.381227,,90,2455101.024,,Kepler-261,0.794,5098
Kepler-57 b,,19.57608556,44.65702778,0.0588891,5.7293196,,,,0.83,Kepler-57,0.73,5145
Kepler-175 b,,19.30355,43.87618056,0.102029,11.903515,,90,2455011.341,,Kepler-175,1.01,6064
Kepler-323 b,,19.42548056,38.12746944,0.0276391,1.678327,,90,2454969.053,,Kepler-323,1.178,5987
Kepler-377 c,,19.6948,38.73568889,0.176201,27.014976,,90,2454965.508,,Kepler-377,1.224,5949
HD 106270 b,11.0869,12.22703889,-9.513277778,4.37827,2890,0.402,15.4,2454830,1.33,HD 106270,2.66147,5601
Kepler-379 c,,19.71341111,38.94583056,0.309155,62.784697,,90,2454990.304,,Kepler-379,1.306,6054
HD 30856 b,1.85721,4.838291667,-24.36879444,2.04004,912,0.117,180,2455260,1.36,HD 30856,5.5698,4973
Kepler-315 c,,19.86821111,43.36351944,0.808381,265.469335,,90,2454984.068,,Kepler-315,1.037,5796
Kepler-80 c,,19.74083778,39.97877778,0.0788018,9.522,,,,0.72,Kepler-80,0.65,4613
Kepler-179 c,,19.91091944,47.76203889,0.067463,6.40013,,90,2455007.023,,Kepler-179,0.759,5302
HD 48265 b,1.20645,6.667138889,-48.54202778,1.59435,762,0.24,289,2452892,0.93,HD 48265,,
CoRoT-27 b,10.371,18.56638889,5.538473056,0.0466557,3.57532,0,90,2455748.684,1.05,CoRoT-27,1.08,5900
Kepler-360 c,,19.08565,44.78155,0.0728812,7.186434,,90,2454969.623,,Kepler-360,1.058,6053
Kepler-262 b,,19.38191111,37.25265,0.108539,13.060855,,90,2454970.631,,Kepler-262,0.881,5841
Kepler-381 b,,19.01218889,43.83108056,0.0619291,5.629021,,90,2454967.746,,Kepler-381,1.568,6152
Kepler-168 c,,19.64733889,39.8251,0.109272,13.193242,,90,2455008.609,,Kepler-168,1.107,6282
Kepler-84 f,,19.88346944,40.49608056,0.245953,44.552169,,90,2454993.291,,Kepler-84,1.169,6031
HD 89307 b,1.79148,10.30595833,12.62120278,3.26609,2166,0.2,4.9,2452346.4,0.989,HD 89307,1.15051,5897.77
HD 163607 c,2.2924,17.89460278,56.39166389,2.41789,1314,0.12,265,2455085,1.09,HD 163607,1.69594,5543
WASP-49 b,0.376728,6.072631667,-16.96527778,0.0378972,2.7817387,0,90,2455580.594,0.938,WASP-49,0.976,5600
Kepler-288 b,,19.2611,39.59471111,0.065318,6.097326,,90,2455187.064,,Kepler-288,1.091,5918
Kepler-37 c,0.0107883,18.93730722,44.51813889,0.139784,21.301886,0.0984886,66.038,2455012.44,0.803,Kepler-37,0.77,5417
Kepler-55 b,,19.0112225,44.02644444,0.153688,27.9481449,,,,0.62,Kepler-55,0.58,4362
HD 4313 b,2.17173,0.761211111,7.845005556,1.13327,356,0.041,85.59,2454804,1.53,HD 4313,4.11574,4966
HD 2638 b,0.477325,0.499980556,-5.763458334,0.0435743,3.4442,0,0,2453323.206,0.93,HD 2638,1.1428,5192
Kepler-272 b,,19.94183056,47.59383056,0.0404491,2.971353,,90,2454967.387,,Kepler-272,0.929,5297
Kepler-231 b,,19.59821944,50.53191111,0.0912341,10.065275,,90,2454969.282,,Kepler-231,0.49,3767
HD 168443 b,7.69745,18.33444167,-9.595177778,0.29385,58.11247,0.52883,172.923,2455626.199,0.995,HD 168443,1.58859,5491
Kepler-373 b,,19.29253056,50.59705,0.0612399,5.535309,,90,2454965.76,,Kepler-373,0.845,5787
Kepler-288 d,,19.2611,39.59471111,0.288618,56.633742,,90,2454968.553,,Kepler-288,1.091,5918
HD 10180 f,0.0743252,1.631552778,-60.51154167,0.49279,122.72,0.133,265,2454027.553,1.06,HD 10180,1.10851,5911
HD 45350 b,1.83614,6.479372223,38.96309167,1.94413,963.6,0.778,343.4,2451825.3,1.054,HD 45350,1.18013,5616.04
HD 69830 c,0.0367709,8.306605556,-12.62976944,0.185072,31.559999,0.13,221,2453469.6,0.849,HD 69830,0.921634,5360
Kepler-21 b,,19.15744722,38.71394722,0.0427173,2.785755,0,90,2455093.8,1.34,Kepler-21,1.86,6131
Kepler-352 c,,19.9931,46.05196944,0.125984,16.332995,,90,2454969.906,,Kepler-352,0.781,5212
Kepler-363 b,,18.87946944,41.30538889,0.046094,3.614568,,90,2454967.697,,Kepler-363,1.485,5593
Kepler-390 b,,19.44191944,41.2086,0.0698175,6.738088,,90,2454966.323,,Kepler-390,0.776,5166
Kepler-340 b,,19.7289,40.30056944,0.118208,14.844387,,90,2454976.583,,Kepler-340,1.85,6620
Kepler-335 c,,19.73761944,45.42861944,0.325549,67.844469,,90,2454982.499,,Kepler-335,1.854,5877
HD 47186 b,0.071203,6.602436111,-27.62165833,0.0498411,4.0845,0.038,59,2454566.95,0.99,HD 47186,1.13117,5675
Kepler-226 b,,19.49173889,47.88098889,0.0488289,3.940997,,90,2454969.093,,Kepler-226,0.802,5571
KELT-3 b,1.454,9.909552222,40.38802778,0.0412729,2.70339,0,90,2456024.23,1.282,KELT-3,1.482,6304
Kepler-51 c,,19.76531833,49.93766667,0.379271,85.3128662,,,,1,Kepler-51,0.91,5803
HD 148427 b,1.14357,16.47449167,-13.39964444,1.03886,331.5,0.16,277,2453991,1.36,HD 148427,3.92268,4962
Kepler-226 c,,19.49173889,47.88098889,0.0598621,5.349555,,90,2455004.806,,Kepler-226,0.802,5571
epsilon Tau b,7.67663,4.476925,19.18052222,1.93647,594.90002,0.151,94.4,2452879,2.73,epsilon Tau,12.752,4946
Kepler-11 e,,19.80767278,41.90911111,0.19466,31.9996,0.012,90,2455595.076,0.961,Kepler-11,1.1,5663
Kepler-366 c,,19.79013889,49.08443889,0.1055,12.51616,,90,2454968.029,,Kepler-366,1.048,6209
HD 208487 b,0.5122,21.95549167,-37.76333333,0.520765,130.08,0.24,113,2450999,1.113,HD 208487,1.20627,6067.44
Kepler-288 c,,19.2611,39.59471111,0.140842,19.305772,,90,2455206.191,,Kepler-288,1.091,5918
Kepler-48 d,,19.94261417,40.949,0.229818,42.8961,0,,,0.88,Kepler-48,0.89,5194
Kepler-311 b,,18.80408889,47.08548889,0.0857785,9.176092,,90,2454971.717,,Kepler-311,1.188,5905
Kepler-117 c,,19.25286944,48.04023056,0.268407,50.790412,,90,2454968.631,,Kepler-117,1.471,6169
epsilon Eri b,1.05448,3.549005555,-9.458305555,3.37558,2500,0.25,6,2448940,0.82,epsilon Eri,0.74,5145.75
Kepler-69 c,,19.55072917,44.86888889,0.709354,242.4613,0.14,,2454843.964,0.81,Kepler-69,0.93,5638
Kepler-296 f,,19.10266944,49.43733056,0.310961,63.335879,,90,2454995.612,,Kepler-296,0.557,4249
HD 20782 b,1.9,3.334263889,-28.85391389,1.36607,591.9,0.97,147.7,2451083.8,0.969,HD 20782,1.12933,5758.36
Kepler-228 c,,19.75241111,48.22466944,0.050414,4.134444,,90,2455005.977,,Kepler-228,1.014,6043
HD 190360 c,0.0589738,20.06026389,29.89808056,0.129216,17.111027,0.23747,5.18038,2454389.63,0.983,HD 190360,1.07528,5551.63
Kepler-23 c,,19.61459417,49.47922222,0.0986522,10.7421,0,90,2454966.293,1.11,Kepler-23,1.52,5760
Kepler-378 b,,19.66323889,46.43863889,0.124744,16.092361,,90,2454975.513,,Kepler-378,0.671,4661
HD 65216 b,1.21636,7.894855555,-63.64767778,1.37427,613.09998,0.41,198,2450762,0.92,HD 65216,0.88536,5666
Kepler-343 c,,19.46405,42.43301111,0.159296,23.22182,,90,2454984.066,,Kepler-343,1.433,5807
Kepler-42 b,,19.48126556,44.61933333,0.0112809,1.2137672,,,,0.13,Kepler-42,0.17,3068
Kepler-212 b,,19.17471944,43.14165,0.125596,16.257582,,90,2454972.648,,Kepler-212,1.455,5852
Kepler-296 c,,19.10266944,49.43733056,0.063479,5.841648,,90,2454968.921,,Kepler-296,0.557,4249
Kepler-356 b,,19.49473889,37.68281944,0.0542304,4.612696,,90,2454965.775,,Kepler-356,1.335,6133
HAT-P-13 b,0.8514,8.658836944,47.35202778,0.0426946,2.91625,0.0133,210,2454777.975,1.22,HAT-P-13,1.56,5653
Kepler-244 b,,19.14951111,42.30136944,0.0518456,4.311792,,90,2455006.576,,Kepler-244,0.803,5554
GJ 3634 b,0.0221881,10.97642583,-31.14394444,0.0286881,2.64561,0.08,84,2455390.417,0.45,GJ 3634,0.43,
Kepler-9 b,0.248865,19.03826556,38.40086111,0.140548,19.243158,0.150841,18.5551,2455089.7,1,Kepler-9,1.1,
HD 130322 b,1.04309,14.79244444,-0.281133334,0.0896052,10.7085,0.011,145,2453995,0.836,HD 130322,0.986573,5308.11
Kepler-31 d,,19.60153056,45.85308056,0.386163,87.648901,,90,2454967.938,,Kepler-31,1.306,6034
Kepler-399 d,,19.96678056,40.6708,0.293358,58.034616,,90,2454971.733,,Kepler-399,0.68,5502
Kepler-215 c,,19.6649,45.21368889,0.117265,14.667108,,90,2454978.424,,Kepler-215,1.027,5739
Kepler-108 b,,19.63728056,46.06233056,0.262717,49.183921,,90,2454974.911,,Kepler-108,2.192,5854
Kepler-348 c,,19.817,40.54836944,0.130735,17.265427,,90,2454968.357,,Kepler-348,1.359,6177
Kepler-124 b,,19.11685,49.06491111,0.0443423,3.410493,,90,2454964.575,,Kepler-124,0.636,4984
Kepler-185 c,,18.83121111,43.88991111,0.147681,20.729042,,90,2455018.436,,Kepler-185,0.806,5208
Kepler-191 c,,19.41223056,45.32316944,0.133112,17.738506,,90,2454981.989,,Kepler-191,0.789,5282
omega Ser b,1.70083,15.83820278,2.196625,1.07698,277.02,0.106,132,2450022,2.17,omega Ser,12.3,4770
Kepler-111 b,,19.44355,44.68826944,0.043745,3.341815,,90,2454974.356,,Kepler-111,1.157,5952
HD 16175 b,4.37946,2.617205556,42.06273056,2.1185,990,0.6,222,2453810,1.29,HD 16175,1.19707,6080
Kepler-235 b,,19.07193889,39.27831944,0.0437311,3.340222,,90,2455004.978,,Kepler-235,0.554,4255
HD 46375 b,0.227201,6.553488889,5.463161111,0.0399038,3.023573,0.063,114,2451071.53,0.927,HD 46375,0.863012,5285.42
Kepler-48 c,0.0456363,19.94261417,40.949,0.0851485,9.67395,,,,0.88,Kepler-48,0.89,5194
Kepler-114 b,,19.60808889,48.34951944,0.0586548,5.188549,,90,2454978.363,,Kepler-114,0.667,4605
Kepler-60 d,,19.26408278,42.265,0.105629,11.9016171,,,,1.11,Kepler-60,1.5,5915
Kepler-14 b,8.40643,19.18058611,47.333,0.0806879,6.790123,0.0350051,89.0179,2454971.07,1.512,Kepler-14,2.048,6395
Kepler-234 c,,19.44356944,38.49466111,0.0730543,7.21205,,90,2455005.817,,Kepler-234,1.113,6224
CoRoT-13 b,1.3102,6.848075,-5.086416667,0.051069,4.03519,0,90,2444790.809,1.09,CoRoT-13,1.01,5945
HD 98219 b,2.12353,11.29656667,-23.975375,1.32398,436.9,0,47,2455140,1.62,HD 98219,2.95355,5046
HD 11964 b,0.608106,1.952727778,-10.24183611,3.1288,1944.5898,0.041,154.961,2454170.722,1.08,HD 11964,1.76025,5372
HAT-P-34 b,3.32973,20.21302361,18.10483333,0.0677467,5.452654,0.441,20,2455431.596,1.392,HAT-P-34,1.197,6442
Kepler-31 b,,19.60153417,45.85305556,0.158038,20.8613,0,90,2454992.141,1.21,Kepler-31,1.22,6340
Kepler-85 c,,19.39822778,45.29030556,0.102591,12.513,,,,0.92,Kepler-85,1.24,5497
Kepler-219 d,,19.24926944,46.76256111,0.258138,47.903645,,90,2454974.983,,Kepler-219,1.491,5786
Kepler-248 c,,19.53743056,43.58136111,0.125503,16.239494,,90,2455008.569,,Kepler-248,0.831,5190
HD 139357 b,10.0754,15.58783889,53.92213889,2.34618,1125.7,0.1,235.4,2452466.7,1.35,HD 139357,7.76389,4700
HD 1461 b,0.0240044,0.311561111,-8.05265,0.0635202,5.7727,0.14,58,2450366.519,1.026,HD 1461,1.12553,5765
Kepler-283 c,,19.57425,47.839,0.400986,92.743711,,90,2455006.311,,Kepler-283,0.566,4351
HAT-P-30 b,0.706657,8.263326667,5.83675,0.0419042,2.810595,0.035,252,2455454.91,1.242,HAT-P-30,1.215,6304
Kepler-251 d,,19.77108056,44.10586111,0.189511,30.133001,,90,2455023.383,,Kepler-251,0.89,5526
Kepler-234 b,,19.44356944,38.49466111,0.0380552,2.711506,,90,2455003.035,,Kepler-234,1.113,6224
Kepler-37 b,0.00958399,18.93730722,44.51813889,0.102457,13.367308,0,90,2455017.033,0.803,Kepler-37,0.77,5417
Kepler-392 c,,19.24405,43.36808056,0.0933838,10.423118,,90,2454968.153,,Kepler-392,1.129,5938
HD 8535 b,0.682196,1.393663889,-41.26963056,2.4447,1313,0.15,61,2454537,1.13,HD 8535,1.0437,6136
HAT-P-28 b,0.627451,0.866718333,34.72838889,0.0433674,3.257215,0.051,233,2455415.602,1.025,HAT-P-28,1.103,5680
Kepler-349 c,,19.57843056,44.61558056,0.103986,12.247629,,90,2454971.217,,Kepler-349,0.927,5956
HD 4203 b,2.08215,0.744755555,20.44922778,1.16537,431.88,0.519,329.1,2451918.9,1.13,HD 4203,1.15783,5701.69
Kepler-331 d,,19.45561944,39.30736111,0.197812,32.134328,,90,2454975.268,,Kepler-331,0.492,4347
HD 102956 b,0.951497,11.85625556,57.64077778,0.0810025,6.4948,0.048,12,2455352.26,1.68,HD 102956,3.42909,5054
Kepler-362 c,,19.45143889,47.5299,0.220686,37.866281,,90,2454967.358,,Kepler-362,0.722,5788
Kepler-186 e,,19.91018056,43.95501944,0.121623,22.407793,0.03,270,2454975.597,0.478,Kepler-186,0.472,3788
Kepler-321 c,,19.63026111,44.14596944,0.108723,13.093921,,90,2454977.524,,Kepler-321,1.194,5740
Kepler-376 c,,19.44048056,38.41038889,0.114613,14.172327,,90,2454975.598,,Kepler-376,1.175,5900
GJ 176 b,0.0259969,4.715380555,18.96088056,0.0656822,8.7832,0,0,2454399.79,0.49,GJ 176,,
HD 23079 b,2.4433,3.662022222,-52.91561389,1.59509,730.6,0.102,55,2450492,1.012,HD 23079,1.16249,5927.07
HD 178911 B b,7.29127,19.15085,34.59936944,0.344904,71.484,0.114,168.2,2453808.1,1.06421,HD 178911 B,0.894377,5667.87
WASP-58 b,0.890462,18.31340306,45.17197222,0.0562022,5.01718,0,90,2455183.934,0.94,WASP-58,1.17,5800
Kepler-244 c,,19.14951111,42.30136944,0.0894244,9.767292,,90,2455019.579,,Kepler-244,0.803,5554
Kepler-354 b,,19.0501,41.33563889,0.0608066,5.47666,,90,2454968.702,,Kepler-354,0.674,4648
Kepler-278 b,,19.34048056,38.70223056,0.189627,30.160546,,90,2454971.512,,Kepler-278,2.935,4991
HD 162020 b,15.2138,17.84398333,-40.31828889,0.0756944,8.428198,0.277,28.4,2451990.677,0.8,HD 162020,0.526361,4844.67
Kepler-183 b,,19.56871944,39.31588889,0.0623606,5.687945,,90,2454966.956,,Kepler-183,0.958,5888
Kepler-210 c,,19.50023056,43.08315,0.0781034,7.972513,,90,2455004.584,,Kepler-210,0.65,4559
Kepler-184 d,,19.46346111,43.07471111,0.184825,29.022358,,90,2455031.368,,Kepler-184,0.873,5788
HD 168746 b,0.245103,18.36383333,-11.92251389,0.0655505,6.404,0.107,17,2451757.83,0.916,HD 168746,0.888361,5563.62
GJ 876 c,0.612168,22.88782222,-14.26205833,0.129574,30.0881,0.25591,48.76,2450577.5,0.32,GJ 876,,
Kepler-20 c,0.0494862,19.17986778,42.33869444,0.0930411,10.854092,0,6.46982,2454963.325,0.912,Kepler-20,0.944,5466
Kepler-47 b,,19.68652778,46.92044444,0.267621,49.514,0,,,1.043,Kepler-47,0.964,5636
Kepler-296 b,,19.10266944,49.43733056,0.0461525,3.621457,,90,2454967.754,,Kepler-296,0.557,4249
Kepler-402 b,,19.22468056,43.35461111,0.0495511,4.028751,,90,2454966.769,,Kepler-402,1.264,6090
Kepler-260 b,,19.46173056,38.01411944,0.0795006,8.187399,,90,2455093.868,,Kepler-260,0.862,5250
Kepler-255 c,,19.73761944,45.97683889,0.0905121,9.946047,,90,2455004.7,,Kepler-255,0.933,5573
HD 215497 b,0.020855,22.77689167,-56.59938611,0.0465952,3.93404,0.16,96,2454858.95,0.872,HD 215497,1.10659,5113
Kepler-62 f,,18.88084972,45.34986111,0.717595,267.291,0.094434,237.995,2455442.463,0.69,Kepler-62,0.64,4925
HD 154345 b,0.956901,17.04341667,47.07980278,4.21377,3341.5588,0.044,68.1543,2452831.223,0.893,HD 154345,1,5468.12
Kepler-60 c,,19.26408278,42.265,0.0871504,8.9193459,,,,1.11,Kepler-60,1.5,5915
Kepler-395 c,,19.56741111,45.13658889,0.209361,34.989262,,90,2454977.223,,Kepler-395,0.556,4262
HD 217107 b,1.40112,22.97098333,-2.395347222,0.0750282,7.1268163,0.126686,24.3621,2454395.787,1.108,HD 217107,1.5,5704.36
mu Ara c,1.88907,17.73575556,-51.83358889,5.34057,4205.8,0.0985,57.6,2452955.2,1.147,mu Ara,1.25035,5784.28
HD 7199 b,0.295018,1.179738889,-66.18786389,1.36155,615,0.19,155,2455030,0.89,HD 7199,1.11756,5386
Kepler-233 c,,19.75776944,51.31951944,0.301339,60.418955,,90,2455014.162,,Kepler-233,0.758,5360
GJ 433 b,0.0181986,11.59083333,-32.5379,0.0580371,7.3709,0.08,204,2494287,0.48,GJ 433,,3600
HD 159243 b,1.13,17.55599444,5.700677778,0.110366,12.62,0.02,223,2456426.11,1.125,HD 159243,1.12,6123
Kepler-327 d,,19.50948889,44.08766944,0.113517,13.969457,,90,2454965.171,,Kepler-327,0.492,3799
HAT-P-31 b,2.16627,18.10251472,26.42663889,0.0611921,5.005425,0.245,274.3,2454318.48,1.218,HAT-P-31,1.36,6065
OGLE-TR-113 b,1.25508,10.87344444,-61.44680556,0.0228946,1.4324757,0,90,2452325.798,0.779,OGLE-TR-113,0.774,4790
Kepler-356 c,,19.49473889,37.68281944,0.108876,13.121632,,90,2454966.393,,Kepler-356,1.335,6133
Kepler-41 b,0.493327,19.63421528,45.98163889,0.0289537,1.855558,0,90,2454970.714,0.94,Kepler-41,0.966,5660
Kepler-270 b,,18.81333889,44.4223,0.0995717,11.476094,,90,2454968.395,,Kepler-270,1.461,6067
HD 40307 d,0.028076,5.901194444,-60.023325,0.132422,20.46,0,0,2454532.42,0.74,HD 40307,0.839223,4977
HD 290327 b,2.54762,5.389316667,-2.277383334,3.43052,2443,0.08,268,2455326,0.9,HD 290327,0.997399,5552
GJ 876 e,0.039229,22.88782222,-14.26205833,0.333345,124.26,0.055,239,2450519.598,0.32,GJ 876,,
HD 169830 c,4.06407,18.46374444,-29.81690278,3.60184,2102,0.33,252,2452516,1.407,HD 169830,1.80318,6221.43
47 UMa c,0.545774,10.99117222,40.43012222,3.57197,2391,0.098,295,2452441,1.063,47 UMa,1.11869,5882.31
Kepler-85 b,,19.39822778,45.29030556,0.0780663,8.306,,,,0.92,Kepler-85,1.24,5497
Kepler-313 c,,19.88633056,48.77546111,0.198382,32.273273,,90,2454982.103,,Kepler-313,1.536,5727
Kepler-199 b,,19.70396111,40.23626944,0.161192,23.637604,,90,2455005.648,,Kepler-199,0.967,5644
Kepler-172 b,,18.89123056,41.82186111,0.0401669,2.940309,,90,2455002.903,,Kepler-172,1.085,5526
Kepler-223 d,,19.88788889,47.27948889,0.117913,14.788759,,90,2455009.764,,Kepler-223,1.017,5829
Kepler-360 b,,19.08565,44.78155,0.0432887,3.289672,,90,2454964.756,,Kepler-360,1.058,6053
Kepler-246 b,,19.76556111,42.66343056,0.0541452,4.60182,,90,2455002.979,,Kepler-246,0.831,5206
Kepler-347 b,,19.27996944,49.30571944,0.10708,12.79836,,90,2454966.648,,Kepler-347,1.005,6088
HD 63765 b,0.643827,7.797102778,-54.26346667,0.94038,358,0.24,122,2454404,0.865,HD 63765,0.975102,5432
Kepler-217 c,,19.53585,46.27751944,0.0820605,8.586004,,90,2454970.961,,Kepler-217,1.799,6171
HD 85390 b,0.131884,9.834019444,-49.79012222,1.52377,788,0.41,266,2454464.2,0.76,HD 85390,0.958233,5186
Kepler-401 c,,19.33885,50.86348056,0.256031,47.318218,,90,2455003.06,,Kepler-401,1.333,6117
Kepler-299 c,,18.88046111,48.5805,0.0708347,6.885875,,90,2454971.41,,Kepler-299,1.032,5617
Kepler-112 b,,19.79873056,43.20975,0.080928,8.408878,,90,2454967.006,,Kepler-112,0.841,5544
Kepler-155 c,,19.23306111,51.08193889,0.27496,52.661793,,90,2455016.517,,Kepler-155,0.62,4508
Kepler-271 c,,18.86686111,44.28423056,0.0743912,7.410935,,90,2454968.748,,Kepler-271,0.88,5524
Kepler-241 c,,19.52753889,41.06091944,0.213635,36.065978,,90,2455031.582,,Kepler-241,0.668,4699
WASP-77 A b,1.75912,2.477008056,-7.060666667,0.0240531,1.3600309,0,90,2455870.45,1.002,WASP-77 A,0.955,5500
Kepler-164 c,,19.18538889,47.62991111,0.0964797,10.945723,,90,2455009.72,,Kepler-164,1.148,5888
Kepler-371 b,,19.48843056,38.65758056,0.208459,34.763278,,90,2454994.735,,Kepler-371,0.992,5666
55 Cnc e,0.0261924,8.876702778,28.33138889,0.0154393,0.736546,0,90,2455568.011,0.905,55 Cnc,0.943,5196
HIP 57274 d,0.528573,11.74471667,30.96021944,1.00678,431.7,0.27,187.2,2455108.116,0.73,HIP 57274,0.68,4640
HD 221287 b,3.11535,23.52226111,-58.20971944,1.25015,456.10001,0.08,98,2453263,1.25,HD 221287,1.10236,6304
KOI-13 b,,19.13141861,46.86830556,0.0342279,1.76358799,0,,2455138.744,1.72,KOI-13,1.71,7650
HD 192699 b,2.29191,20.26834167,4.580919445,1.12292,345.53,0.129,41.3,2454036.6,1.58,HD 192699,3.61317,5141
Kepler-178 d,,19.14006944,46.89648056,0.412251,96.678988,,90,2454973.178,,Kepler-178,1.066,5676
Kepler-312 b,,19.89305,42.45975,0.0286627,1.772419,,90,2454965.088,,Kepler-312,1.467,6115
Kepler-164 b,,19.18538889,47.62991111,0.0574921,5.03503,,90,2454965.655,,Kepler-164,1.148,5888
Kepler-341 b,,19.32411111,43.47276944,0.0587074,5.195528,,90,2454965.735,,Kepler-341,1.024,6012
Kepler-311 c,,18.80408889,47.08548889,0.142937,19.738286,,90,2454966.285,,Kepler-311,1.188,5905
HD 181342 b,3.14944,19.35118333,-23.61949722,1.777,663,0.177,281,2454881,1.7,HD 181342,4.76324,4965
WASP-8 b,2.13728,23.99335222,-35.03133333,0.080153,8.158715,0.31,274.27,2454675.429,1.03,WASP-8,0.945,5600
HD 131496 b,2.24115,14.88972222,18.23548889,2.1121,883,0.163,22,2456040,1.61,HD 131496,4.56407,4927
Kepler-154 c,,19.3187,49.89653056,0.307572,62.303276,,90,2455012.094,,Kepler-154,1.001,5690
Kepler-334 c,,19.14271111,47.11518889,0.106855,12.758005,,90,2454966.958,,Kepler-334,1.068,5828
Kepler-372 c,,19.41708056,49.25895,0.144457,20.053763,,90,2454969.58,,Kepler-372,1.137,6509
Kepler-127 b,,19.01266944,46.02796111,0.11603,14.435889,,90,2454974.511,,Kepler-127,1.359,6106
HD 44219 b,0.589265,6.3373,-10.72496944,1.18713,472.3,0.61,147.4,2454585.6,1,HD 44219,1.36324,5752
75 Cet b,2.7597,2.535955555,-1.034816667,1.97678,691.9,0.117,165,2452213,2.15,75 Cet,10.5,4904
Kepler-27 b,,19.48245139,41.08586111,0.10464,15.3348,0,90,2454991.673,0.65,Kepler-27,0.59,5400
Kepler-210 b,,19.50023056,43.08315,0.0355986,2.453234,,90,2455003.892,,Kepler-210,0.65,4559
Kepler-40 b,2.17681,19.78757917,47.52652778,0.0806644,6.87349,0,90,2455005.52,1.48,Kepler-40,2.13,6510
Kepler-171 c,,19.78478889,41.75553889,0.0994986,11.463462,,90,2454970.384,,Kepler-171,0.839,5642
Kepler-298 c,,18.86931944,48.82536111,0.157953,22.92881,,90,2455156.034,,Kepler-298,0.582,4465
Kepler-331 c,,19.45561944,39.30736111,0.130814,17.28111,,90,2454969.008,,Kepler-331,0.492,4347
HD 220074 b,11.1883,23.337325,61.97014167,1.60044,672.1,0.14,323,2451158.2,1.2,HD 220074,54.7067,3935
Kepler-133 b,,19.81853056,48.32033056,0.0791285,8.129976,,90,2454958.97,,Kepler-133,1.425,5736
HAT-P-39 b,0.598375,7.583883056,17.83008333,0.0509456,3.54387,0,90,2455208.75,1.404,HAT-P-39,1.625,6430
WASP-26 b,1.00876,0.306861389,-15.26730556,0.0399686,2.7566,0,90,2455123.638,1.12,WASP-26,1.34,5059
HIP 2247 b,5.12319,0.476255556,-16.22578889,1.33884,655.6,0.54,112.2,2454627.1,0.74,HIP 2247,1.07261,4714
GJ 876 d,0.0184193,22.88782222,-14.26205833,0.0208066,1.93778,0.207,234,2450600.2,0.32,GJ 876,,
Kepler-312 c,,19.89305,42.45975,0.142982,19.747412,,90,2454980.104,,Kepler-312,1.467,6115
OGLE-TR-56 b,1.35447,17.94319722,-29.53922222,0.0238308,1.211909,0,90,2452072.683,1.228,OGLE-TR-56,1.363,6050
